word,similarity
trophy,0.5488020777702332
madly,0.5477491021156311
selection,0.5338348150253296
sweetness,0.5336279273033142
dearest,0.5325617790222168
ah,0.5273182392120361
sweetly,0.5216031074523926
oh,0.5206480026245117
bleeds,0.5200850367546082
affection,0.5177669525146484
moneyman,0.516581654548645
deeply,0.5163331627845764
imagination,0.5135646462440491
aaah,0.5123539566993713
dies,0.5110599398612976
bittersweet,0.5091037750244141
lifetimes,0.5077409148216248
conquer,0.5067490935325623
indefinitely,0.5064494609832764
eternally,0.5047264695167542
medicine,0.500640869140625
lockdown,0.4981483221054077
aches,0.4950903654098511
conceal,0.4949297606945038
modern,0.4939281642436981
satisfy,0.49390342831611633
pleasing,0.49298736453056335
scares,0.4913659989833832
protection,0.4908995032310486
chapter,0.490441232919693
lovergirl,0.4879148304462433
stance,0.4874279797077179
blessings,0.4868275225162506
ahhh,0.4867393970489502
attracted,0.4861806333065033
patient,0.486011266708374
sincere,0.4859175384044647
scold,0.48565542697906494
chokin,0.48452115058898926
imperfections,0.4838132858276367
shhh,0.48296278715133667
invited,0.4803754687309265
endlessly,0.4802733063697815
repair,0.4798518717288971
soothe,0.4797898232936859
method,0.4793851375579834
furious,0.4788058400154114
desired,0.47876429557800293
tenderness,0.4785294234752655
unreal,0.47683802247047424
notion,0.4765630066394806
deceiving,0.47614631056785583
commitment,0.47603121399879456
nonstop,0.47561556100845337
describe,0.47534817457199097
convince,0.47490614652633667
awww,0.47441670298576355
healthy,0.47426825761795044
clarity,0.4733888804912567
heavenly,0.47325223684310913
frozen,0.47312554717063904
heed,0.4726087749004364
aside,0.4718589186668396
understood,0.4714789390563965
keeping,0.47006872296333313
lightly,0.46739888191223145
painful,0.46725693345069885
stressin,0.4662051796913147
devotion,0.46584630012512207
badly,0.46531200408935547
complicate,0.46476268768310547
sympathy,0.46425512433052063
easier,0.463856041431427
shown,0.46372920274734497
helplessly,0.4625377058982849
bernadette,0.4624636471271515
fits,0.46236124634742737
begs,0.4622849225997925
plea,0.46211153268814087
remedy,0.46195387840270996
snooze,0.4616906940937042
kills,0.4616294205188751
phunk,0.4616193175315857
guest,0.4615113139152527
courage,0.4613555669784546
scare,0.46027442812919617
divide,0.46020805835723877
ego,0.4598061144351959
hiii,0.45952507853507996
birdie,0.4595036506652832
mmmmm,0.4589996039867401
charms,0.4582488536834717
huggin,0.4580775499343872
apologies,0.4577173590660095
fail,0.457712322473526
pleading,0.4573097229003906
anythin,0.4571269452571869
ashamed,0.45649904012680054
tragedy,0.456462562084198
perish,0.4563026428222656
portrait,0.4556788206100464
treating,0.4554498791694641
advantage,0.45529794692993164
surrounds,0.4550115168094635
clinging,0.4545760750770569
miracle,0.45435529947280884
dedicate,0.45420482754707336
battlefield,0.4539893865585327
jeopardy,0.4535786509513855
demands,0.4534112811088562
shatter,0.45315244793891907
grieve,0.452770859003067
affect,0.4525761902332306
easily,0.4525347948074341
mixes,0.4522150754928589
content,0.4520108103752136
gravity,0.4513419270515442
puzzle,0.4513373076915741
alfie,0.4511149823665619
discouraged,0.4511028826236725
lasts,0.45050546526908875
anti,0.4501795768737793
spirits,0.4494711458683014
granted,0.44946131110191345
sighs,0.44943493604660034
soar,0.4494343101978302
yearning,0.4492248296737671
rare,0.4491206705570221
rights,0.44898685812950134
emotion,0.44867420196533203
ahaaw,0.44813647866249084
perfection,0.44794145226478577
sunrise,0.4477846622467041
trynna,0.4476690888404846
amaze,0.4471389949321747
rearrange,0.44670170545578003
monica,0.44659310579299927
emotional,0.44572144746780396
anticipation,0.44498583674430847
temptation,0.444522500038147
rushes,0.44439688324928284
afire,0.4443543553352356
marriage,0.4442179501056671
taboo,0.44398072361946106
untrue,0.4435361325740814
desires,0.44305798411369324
heals,0.4428665339946747
tummy,0.44285982847213745
likkle,0.4428551495075226
loving,0.4423271119594574
carefully,0.442110151052475
forgiving,0.44185230135917664
shitty,0.4416563808917999
conversations,0.4415045976638794
fragile,0.4414566159248352
resting,0.44137680530548096
winner,0.4413608908653259
rosemarie,0.44117340445518494
endin,0.44113147258758545
gently,0.4410805404186249
visions,0.44041210412979126
rikki,0.4402365982532501
liking,0.4401191473007202
cheerio,0.4400232136249542
cuddle,0.4395665228366852
enter,0.43940070271492004
pinch,0.43930238485336304
vow,0.4387945532798767
fulfill,0.4383661448955536
lightweight,0.4379425346851349
deceived,0.43780118227005005
cater,0.4377066195011139
belongs,0.4375043213367462
achieve,0.43713995814323425
concerned,0.437002569437027
ifs,0.436888188123703
sacred,0.43682339787483215
reveal,0.4365830421447754
elenore,0.436261922121048
visit,0.4361616373062134
fickle,0.43585214018821716
honesty,0.4357661306858063
haunt,0.4355541467666626
deepest,0.4350935220718384
disaster,0.43499431014060974
miracles,0.4349612295627594
contagious,0.4346925616264343
shangri,0.43451279401779175
guide,0.43432602286338806
ike,0.4342721700668335
intervention,0.4342547357082367
refugee,0.4341876208782196
prisoner,0.43409863114356995
cheerleader,0.4336627423763275
believes,0.4336332380771637
woh,0.43319249153137207
overrated,0.4328617751598358
stain,0.43280521035194397
willing,0.4326467514038086
teachers,0.43264591693878174
